date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,season
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leandro Barrios Rita dos Martires,7,br BRA,FW,31,1,0,0,0,2,1,0,0,0,0,0,3,2,0,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elderson EchiÃ©jilÃ©,3,ng NGA,LB,90,0,1,0,0,1,0,1,0,1,0,0,2,1,0,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mattias BjÃ¤rsmyr,6,se SWE,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vitali Dyakov,4,ru RUS,CB,90,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RÄ±dvan ÅžimÅŸek,25,tr TUR,RB,90,0,0,0,0,3,0,0,0,1,2,0,2,4,2,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sergio Rochet,93,uy URU,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018
2017-08-20,Kayserispor,Göztepe,1,0,NA,NA,0,Özgür Yankaya,https://fbref.com/en/matches/37062189/Kayserispor-Goztepe-August-20-2017-Super-Lig,0,1,3,0,9,4,14,10,14,0,0,1,0,12,5,12,11,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-2018
2017-08-20,Antalyaspor,Akhisarspor,2,2,NA,NA,0,Bülent Yildirim,https://fbref.com/en/matches/aeae9140/Antalyaspor-Akhisar-Belediyespor-August-20-2017-Super-Lig,0,0,3,0,9,3,16,13,15,0,0,2,0,11,4,12,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-2018
2017-08-20,Fenerbahçe,Trabzonspor,2,2,NA,NA,0,Ali Palabıyık,https://fbref.com/en/matches/619d78ff/Fenerbahce-Trabzonspor-August-20-2017-Super-Lig,1,1,2,0,14,3,11,7,17,0,0,4,0,4,2,12,19,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-2018
2017-08-21,Konyaspor,Gençlerbirliği,3,0,NA,NA,0,Arda Kardeşler,https://fbref.com/en/matches/094fd9fb/Konyaspor-Genclerbirligi-August-21-2017-Super-Lig,0,0,1,0,12,6,10,18,15,0,0,1,0,8,4,8,19,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-2018
